Number,Date,Time,Email
0114039330,8/12/04,23:00,ntuthuko@zetra.io
0113398336,02/22/04,23:00, asdas asd ntuthuko@zetra.io
0114033835,Deposited in Bratislava in 2001,23:00, asdas ntuthuko@zetra.io 
011/403/5037,Nov. ‘02,23:00, asdasd asdasd
+27114039851,2005,23:00, jkbdsjk ntuthuko@zetra.io
117619331,42795,23:00, asdas ntuthuko@zetra.io
(07)39236452,2021-12-16,23:00, ntuthuko@zetra.io sdasd
0118822022,1/10/16,23:00, ntuthuko@zetra.io
+27(0)711154891, 1/10/16,23:00, ntuthuko@zetra.io
+27(0)114844901, 1/10/16,23:00, ntuthuko@zetra.io
0729298666or0730698012, 1/10/16,23:00, ntuthuko@zetra.io
